Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,06:00,13:00,16:15,17:48,19:30
,02-Mar-23,06:00,13:00,16:15,17:50,19:30
,03-Mar-23,05:45,13:00,16:15,17:52,19:45
,04-Mar-23,05:45,13:00,16:15,17:54,19:45
,05-Mar-23,05:45,13:00,16:15,17:55,19:45
,06-Mar-23,05:45,13:00,16:15,17:57,19:45
,07-Mar-23,05:45,13:00,16:15,17:59,19:45
,08-Mar-23,05:45,13:00,16:15,18:01,19:45
,09-Mar-23,05:45,13:00,16:15,18:02,19:45
,10-Mar-23,05:30,13:00,16:30,18:04,20:00
,11-Mar-23,05:30,13:00,16:30,18:06,20:00
,12-Mar-23,05:30,13:00,16:30,18:08,20:00
,13-Mar-23,05:30,13:00,16:30,18:09,20:00
,14-Mar-23,05:30,13:00,16:30,18:11,20:00
,15-Mar-23,05:30,13:00,16:30,18:13,20:00
,16-Mar-23,05:30,13:00,16:30,18:14,20:00
,17-Mar-23,05:15,13:00,16:45,18:16,20:15
,18-Mar-23,05:15,13:00,16:45,18:18,20:15
,19-Mar-23,05:15,13:00,16:45,18:19,20:15
,20-Mar-23,05:15,13:00,16:45,18:21,20:15
,21-Mar-23,05:15,13:00,16:45,18:23,20:15
,22-Mar-23,05:15,13:00,16:45,18:25,20:15
,23-Mar-23,05:15,13:00,16:45,18:26,20:15
,24-Mar-23,05:15,13:00,16:45,18:28,20:15
,25-Mar-23,05:15,13:00,16:45,18:30,20:15
,26-Mar-23,05:45,13:30,18:00,19:31,21:15
,27-Mar-23,05:45,13:30,18:00,19:33,21:15
,28-Mar-23,05:45,13:30,18:00,19:35,21:15
,29-Mar-23,05:45,13:30,18:00,19:36,21:15
,30-Mar-23,05:45,13:30,18:00,19:38,21:15
,31-Mar-23,05:30,13:30,18:00,19:40,21:15
