Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:20,13:30,18:00,19:42,21:30
,02-Apr-23,05:18,13:30,18:00,19:44,21:30
,03-Apr-23,05:16,13:30,18:00,19:46,21:45
,04-Apr-23,05:13,13:30,18:00,19:47,21:45
,05-Apr-23,05:11,13:30,18:00,19:49,21:45
,06-Apr-23,05:09,13:30,18:00,19:51,21:45
,07-Apr-23,05:07,13:30,18:00,19:52,21:45
,08-Apr-23,05:04,13:30,18:00,19:54,21:45
,09-Apr-23,05:02,13:30,18:00,19:56,21:45
,10-Apr-23,05:00,13:30,18:00,19:58,21:45
,11-Apr-23,04:58,13:30,18:15,19:59,21:45
,12-Apr-23,04:56,13:30,18:15,20:01,21:45
,13-Apr-23,04:53,13:30,18:15,20:03,22:00
,14-Apr-23,04:51,13:30,18:15,20:04,22:00
,15-Apr-23,04:49,13:30,18:15,20:06,22:00
,16-Apr-23,04:47,13:30,18:15,20:08,22:00
,17-Apr-23,04:45,13:30,18:15,20:09,22:00
,18-Apr-23,04:42,13:30,18:15,20:11,22:00
,19-Apr-23,04:40,13:30,18:15,20:13,22:00
,20-Apr-23,04:38,13:30,18:15,20:14,22:00
,21-Apr-23,04:35,13:30,18:30,20:16,22:00
,22-Apr-23,04:32,13:30,18:30,20:18,22:00
,23-Apr-23,04:45,13:30,18:30,20:19,22:00
,24-Apr-23,04:45,13:30,18:30,20:21,22:00
,25-Apr-23,04:45,13:30,18:30,20:23,22:00
,26-Apr-23,04:45,13:30,18:30,20:24,22:00
,27-Apr-23,04:45,13:30,18:30,20:26,22:00
,28-Apr-23,04:45,13:30,18:30,20:27,22:00
,29-Apr-23,04:45,13:30,18:30,20:29,22:00
,30-Apr-23,04:45,13:30,18:30,20:31,22:00
