Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-22,05:30,13:30,18:15,19:55,21:30
,02-Sep-22,05:30,13:30,18:15,19:53,21:30
,03-Sep-22,05:30,13:30,18:15,19:50,21:30
,04-Sep-22,05:45,13:30,18:00,19:48,21:15
,05-Sep-22,05:45,13:30,18:00,19:45,21:15
,06-Sep-22,05:45,13:30,18:00,19:42,21:15
,07-Sep-22,05:45,13:30,18:00,19:40,21:15
,08-Sep-22,05:45,13:30,18:00,19:37,21:15
,09-Sep-22,05:45,13:30,18:00,19:35,21:15
,10-Sep-22,05:45,13:30,18:00,19:33,21:15
,11-Sep-22,05:45,13:30,17:45,19:30,21:00
,12-Sep-22,05:45,13:30,17:45,19:28,21:00
,13-Sep-22,05:45,13:30,17:45,19:26,21:00
,14-Sep-22,05:45,13:30,17:45,19:23,21:00
,15-Sep-22,05:45,13:30,17:45,19:21,21:00
,16-Sep-22,05:45,13:30,17:45,19:19,21:00
,17-Sep-22,05:45,13:30,17:45,19:17,21:00
,18-Sep-22,06:00,13:30,17:30,19:14,20:45
,19-Sep-22,06:00,13:30,17:30,19:12,20:45
,20-Sep-22,06:00,13:30,17:30,19:10,20:45
,21-Sep-22,06:00,13:30,17:30,19:07,20:45
,22-Sep-22,06:00,13:30,17:30,19:05,20:45
,23-Sep-22,06:00,13:30,17:30,19:03,20:45
,24-Sep-22,06:00,13:30,17:30,19:00,20:45
,25-Sep-22,06:15,13:30,17:15,18:58,20:30
,26-Sep-22,06:15,13:30,17:15,18:56,20:30
,27-Sep-22,06:15,13:30,17:15,18:54,20:30
,28-Sep-22,06:15,13:30,17:15,18:51,20:30
,29-Sep-22,06:15,13:30,17:15,18:49,20:30
,30-Sep-22,06:15,13:30,17:15,18:47,20:30
